1,215415305.217457
2,268018849.278529
3,388581267.431935
4,491670515.574507
5,336190494.218486
6,181690944.438992
7,129864079.399263
8,82520051.949660
9,39798904.718519
10,19617822.746786
11,13115873.591841
12,6608348.705035
13,4005402.927806
14,2077078.177505
15,2191189.787224
16,769964.007376
17,816374.887346
18,738386.880374
19,306674.287765
20,370138.228300
21,229084.778936
22,280364.785473
23,194869.953413
24,242930.179908
25,167985.285475
26,210713.945716
27,597565.913852
28,256645.460514
29,358998.784213
30,150347.221695
31,136744.485896
32,381231.643762
33,124156.315668
34,118007.555612
35,219448.685960
36,585788.062207
37,266967.296355
38,155210.089840
39,303326.880541
40,112783.019412
41,74087.358724
42,139173.026474
43,347521.478121
44,128649.444217
45,91368.888051
46,153910.445319
47,280518.110387
48,102858.714959
49,66840.226965
50,104304.332797
51,225973.909607
52,78501.024800
53,52106.607463
54,76659.781090
55,130348.456561
56,39087.063688
57,26832.600958
58,34370.360865
59,74167.578036
60,129112.962632
61,45131.783701
62,26124.571903
63,31168.798858
64,9905.795671
65,7721.549427
66,8677.376896
67,19075.692310
68,57334.494155
69,17492.987155
70,13053.567681
71,22962.472918
72,5826.235011
73,7384.163107
74,13194.285884
75,35604.383108
76,8575.636567
77,3949.024943
